country,year,birth_rate,birth_rate_change,mean_age_first_marriage,marriage_age_change,hpi_index,hicp_index,hpi_growth,hicp_growth,gdp_growth,unemp_rate,hpi_growth_lag1,hicp_growth_lag1,gdp_growth_lag1,unemp_rate_lag1,birth_rate_lag1,birth_rate_lag2,mean_age_first_marriage_lag1,mean_age_first_marriage_lag2,hpi_growth_roll3_mean,hicp_growth_roll3_mean,gdp_growth_roll3_mean,unemp_rate_roll3_mean,marriage_rate,marriage_rate_lag1,marriage_rate_lag2,marriage_rate_roll3_mean,hpi_growth_lag2,hicp_growth_lag2,gdp_growth_lag2,unemp_rate_lag2
Austria,2017,10.0,0.0,32.85,0.2000000000000028,112.14,103.22,5.088557773404556,2.22838466871349,2.3,5.466666666666666,6.709999999999994,0.9700000000000042,2.1,6.033333333333334,10.0,,32.65,,5.899278886702275,1.5991923343567471,2.2,5.75,5.1,,,,,,,
Austria,2018,9.7,-0.3000000000000007,33.0,0.1499999999999985,118.83,105.41,5.965757089352586,2.121681844603751,2.5,4.866666666666667,5.088557773404556,2.22838466871349,2.3,5.466666666666666,10.0,10.0,32.85,32.65,5.921438287585712,1.773355504439082,2.3000000000000003,5.455555555555556,5.3,5.1,,5.199999999999999,,,,
Austria,2019,9.6,-0.0999999999999996,33.35,0.3500000000000014,125.97,106.98,6.008583690987135,1.4894222559529435,1.8,4.5,5.965757089352586,2.121681844603751,2.5,4.866666666666667,9.7,10.0,33.0,32.85,5.687632851248092,1.946496256423395,2.2,4.944444444444444,5.2,5.3,5.1,5.2,5.088557773404556,2.22838466871349,2.3,5.466666666666666
Bulgaria,2017,9.4,0.0,28.950000000000003,0.1500000000000021,116.3,99.85,8.671276396935145,1.1856505877583912,2.7,6.2,7.020000000000004,-1.3199999999999878,3.0,7.566666666666666,9.4,,28.8,,7.845638198467574,-0.0671747061207983,2.85,6.883333333333333,4.0,,,,,,,
Bulgaria,2018,9.3,-0.0999999999999996,29.15,0.1999999999999957,123.96,102.48,6.586414445399824,2.6339509263895833,2.3,5.2,8.671276396935145,1.1856505877583912,2.7,6.2,9.4,9.4,28.950000000000003,28.8,7.425896947444991,0.8332005047159955,2.6666666666666665,6.322222222222223,4.1,4.0,,4.05,,,,
Bulgaria,2019,9.3,0.0,29.4,0.25,131.42,104.99,6.018070345272664,2.449258391881326,3.8,4.166666666666667,6.586414445399824,2.6339509263895833,2.3,5.2,9.3,9.4,29.15,28.950000000000003,7.09192039586921,2.0896199686764336,2.9333333333333336,5.188888888888889,4.2,4.1,4.0,4.1000000000000005,8.671276396935145,1.1856505877583912,2.7,6.2
Croatia,2017,9.0,-0.0999999999999996,29.6,0.2000000000000028,104.75,100.67,3.825949053424526,1.3082419241219556,3.3,11.133333333333333,0.8899999999999908,-0.6299999999999972,3.5,13.033333333333331,9.1,,29.4,,2.3579745267122583,0.3391209620609792,3.4,12.083333333333332,4.9,,,,,,,
Croatia,2018,9.3,0.3000000000000007,29.65,0.0499999999999971,111.14,102.23,6.100238663484481,1.5496175623323838,2.9,8.366666666666667,3.825949053424526,1.3082419241219556,3.3,11.133333333333333,9.0,9.1,29.6,29.4,3.605395905636332,0.7426198288181141,3.233333333333333,10.844444444444443,4.9,4.9,,4.9,,,,
Croatia,2019,9.1,-0.200000000000001,29.8,0.1500000000000021,121.1,103.04,8.961669965808895,0.7923310182920806,3.1,6.599999999999999,6.100238663484481,1.5496175623323838,2.9,8.366666666666667,9.3,9.0,29.65,29.6,6.295952560905967,1.2167301682488068,3.1,8.7,4.9,4.9,4.9,4.9,3.825949053424526,1.3082419241219556,3.3,11.133333333333333
Estonia,2017,10.5,-0.1999999999999993,31.25,0.2999999999999971,110.51,104.48,5.498806682577562,3.65079365079366,5.6,5.766666666666667,4.75000000000001,0.8000000000000007,3.1,6.8999999999999995,10.7,,30.950000000000003,,5.124403341288786,2.2253968253968304,4.35,6.333333333333333,4.9,,,,,,,
Estonia,2018,10.9,0.4000000000000003,31.35,0.1000000000000014,117.07,108.05,5.936114378789248,3.416921898928016,3.7,5.433333333333334,5.498806682577562,3.65079365079366,5.6,5.766666666666667,10.5,10.7,31.25,30.950000000000003,5.394973687122273,2.6225718499072257,4.133333333333333,6.033333333333334,5.0,4.9,,4.95,,,,
Finland,2017,9.1,-0.5,32.75,0.25,102.39,101.23,1.0859907197156682,0.8367367267656078,3.3,8.633333333333333,1.2900000000000134,0.3900000000000014,2.6,8.799999999999999,9.6,,32.5,,1.1879953598578408,0.6133683633828046,2.95,8.716666666666665,4.8,,,,,,,
Finland,2018,8.6,-0.5,33.0,0.25,103.34,102.42,0.9278249829084873,1.1755408475748297,1.2,7.366666666666667,1.0859907197156682,0.8367367267656078,3.3,8.633333333333333,9.1,9.6,32.75,32.5,1.101271900874723,0.800759191446813,2.3666666666666667,8.266666666666666,4.3,4.8,,4.55,,,,
Finland,2019,8.3,-0.2999999999999989,33.05,0.0499999999999971,103.77,103.58,0.4161021869556691,1.1325912907635294,1.3,6.7,0.9278249829084873,1.1755408475748297,1.2,7.366666666666667,8.6,9.1,33.0,32.75,0.8099726298599416,1.0482896217013222,1.9333333333333336,7.566666666666666,4.0,4.3,4.8,4.366666666666666,1.0859907197156682,0.8367367267656078,3.3,8.633333333333333
France,2017,11.5,-0.3000000000000007,33.849999999999994,0.2499999999999929,104.24,101.47,3.1670625494853333,1.156415113149234,2.1,9.433333333333334,1.0399999999999965,0.3100000000000102,0.9,10.066666666666666,11.8,,33.6,,2.103531274742665,0.7332075565746221,1.5,9.75,3.5,,,,,,,
France,2018,11.3,-0.1999999999999993,34.150000000000006,0.3000000000000113,107.29,103.6,2.9259401381427574,2.0991426037252348,1.6,9.033333333333331,3.1670625494853333,1.156415113149234,2.1,9.433333333333334,11.5,11.8,33.849999999999994,33.6,2.3776675625426957,1.1885192389581596,1.5333333333333332,9.511111111111113,3.5,3.5,,3.5,,,,
Germany,2017,9.5,-0.0999999999999996,32.6,0.1499999999999985,114.1,102.1,6.139534883720921,1.6932270916334646,2.8,3.733333333333333,7.499999999999996,0.4000000000000003,2.2,4.133333333333333,9.6,,32.45,,6.819767441860458,1.0466135458167325,2.5,3.9333333333333327,4.9,,,,,,,
Italy,2018,7.3,-0.2999999999999998,33.8,0.1999999999999957,98.6,102.5,-0.6048387096774244,1.1846001974333609,0.8,10.666666666666666,-1.0967098703888234,1.401401401401392,1.6,11.333333333333334,7.6,,33.6,,-0.8507742900331239,1.2930007994173764,1.2000000000000002,11.0,3.2,,,,,,,
Italy,2019,7.0,-0.2999999999999998,34.1,0.3000000000000042,98.5,103.2,-0.1014198782961384,0.6829268292682933,0.4,10.0,-0.6048387096774244,1.1846001974333609,0.8,10.666666666666666,7.3,7.6,33.8,33.6,-0.6009894861207954,1.089642809367682,0.9333333333333336,10.666666666666666,3.1,3.2,,3.1500000000000004,,,,
Latvia,2017,10.7,-0.5,30.2,0.2499999999999964,118.01,103.0,8.775002304359859,2.897102897102899,3.4,8.733333333333333,8.489999999999998,0.0999999999999889,2.6,9.633333333333333,11.2,,29.950000000000003,,8.632501152179929,1.498551448551444,3.0,9.183333333333334,6.8,,,,,,,
Latvia,2018,10.0,-0.6999999999999993,30.5,0.3000000000000007,129.3,105.63,9.566985848656897,2.553398058252432,4.3,7.400000000000001,8.775002304359859,2.897102897102899,3.4,8.733333333333333,10.7,11.2,30.2,29.950000000000003,8.943996051005584,1.85016698511844,3.4333333333333336,8.588888888888889,6.8,6.8,,6.8,,,,
Latvia,2019,9.8,-0.1999999999999993,30.95,0.4499999999999993,140.88,108.53,8.95591647331786,2.7454321688914263,0.7,6.3,9.566985848656897,2.553398058252432,4.3,7.400000000000001,10.0,10.7,30.5,30.2,9.099301542111538,2.7319777080822525,2.8000000000000003,7.477777777777778,6.7,6.8,6.8,6.766666666666667,8.775002304359859,2.897102897102899,3.4,8.733333333333333
Lithuania,2017,9.8,-0.5,29.15,0.0499999999999971,114.8,104.42,8.918406072106254,3.7147397695669326,4.6,7.133333333333333,5.400000000000005,0.6800000000000139,2.7,7.9,10.3,,29.1,,7.15920303605313,2.1973698847834733,3.65,7.516666666666667,7.5,,,,,,,
Lithuania,2018,9.5,-0.3000000000000007,29.45,0.3000000000000007,123.18,107.07,7.299651567944254,2.537828002298403,4.9,6.166666666666667,8.918406072106254,3.7147397695669326,4.6,7.133333333333333,9.8,10.3,29.15,29.1,7.206019213350172,2.3108559239551165,4.066666666666666,7.066666666666666,7.0,7.5,,7.25,,,,
Lithuania,2019,8.9,-0.5999999999999996,29.75,0.3000000000000007,131.61,109.47,6.843643448611791,2.2415242364808075,4.7,6.3,7.299651567944254,2.537828002298403,4.9,6.166666666666667,9.5,9.8,29.45,29.15,7.687233696220766,2.8313640027820477,4.733333333333333,6.533333333333334,7.0,7.0,7.5,7.166666666666667,8.918406072106254,3.7147397695669326,4.6,7.133333333333333
Luxembourg,2017,10.4,0.0,32.8,0.0999999999999943,111.96,102.15,5.612678049240616,2.1091563374650235,1.3,5.533333333333334,6.010000000000004,0.0399999999999955,5.0,6.3,10.4,,32.7,,5.81133902462031,1.0745781687325096,3.15,5.916666666666667,3.2,,,,,,,
Luxembourg,2019,10.0,-0.4000000000000003,33.45,0.6500000000000057,131.99,105.93,17.89031797070384,3.7004405286343633,2.7,5.6000000000000005,5.612678049240616,2.1091563374650235,1.3,5.533333333333334,10.4,10.4,32.8,32.7,9.837665339981486,1.9498656220331272,3.0,5.811111111111111,3.5,3.2,,3.35,,,,
Netherlands,2017,9.9,-0.1999999999999993,32.65,0.2999999999999971,113.81,101.4,8.091936556178169,1.288582559184892,2.8,4.8999999999999995,5.290000000000017,0.11000000000001,2.4,6.033333333333334,10.1,,32.35,,6.690968278089093,0.6992912795924511,2.5999999999999996,5.466666666666667,3.8,,,,,,,
Netherlands,2018,9.8,-0.0999999999999996,32.85,0.2000000000000028,124.4,103.02,9.304981987523076,1.5976331360946672,2.3,3.8333333333333335,8.091936556178169,1.288582559184892,2.8,4.8999999999999995,9.9,10.1,32.65,32.35,7.562306181233754,0.9987385650931898,2.5,4.9222222222222225,3.7,3.8,,3.75,,,,
Netherlands,2019,9.8,0.0,33.15,0.2999999999999971,133.38,105.78,7.218649517684872,2.6790914385556253,2.3,3.4,9.304981987523076,1.5976331360946672,2.3,3.8333333333333335,9.8,9.9,32.85,32.65,8.205189353795372,1.8551023779450615,2.4666666666666663,4.044444444444444,3.7,3.7,3.8,3.733333333333333,8.091936556178169,1.288582559184892,2.8,4.8999999999999995
Portugal,2017,8.3,-0.0999999999999996,31.6,0.3000000000000007,117.02,102.2,9.2419716206124,1.5500794912559623,3.3,9.0,7.120000000000015,0.6399999999999961,2.0,11.199999999999998,8.4,,31.3,,8.180985810306208,1.0950397456279792,2.65,10.099999999999998,3.3,,,,,,,
Portugal,2018,8.4,0.0999999999999996,32.0,0.3999999999999986,129.03,103.4,10.263202871304046,1.1741682974559795,2.9,7.066666666666666,9.2419716206124,1.5500794912559623,3.3,9.0,8.3,8.4,31.6,31.3,8.875058163972154,1.121415929570646,2.733333333333333,9.088888888888889,3.4,3.3,,3.3499999999999996,,,,
Portugal,2019,8.4,0.0,32.35,0.3500000000000014,141.88,103.71,9.958924281174909,0.2998065764023172,2.7,6.5,10.263202871304046,1.1741682974559795,2.9,7.066666666666666,8.4,8.3,32.0,31.6,9.821366257697118,1.008018121704753,2.966666666666667,7.522222222222223,3.2,3.4,3.3,3.3000000000000003,9.2419716206124,1.5500794912559623,3.3,9.0
Slovakia,2017,10.7,0.0999999999999996,29.9,0.1999999999999957,112.91,100.9,5.849817193212714,1.3866559485530727,2.9,8.133333333333333,6.669999999999998,-0.4800000000000026,1.9,9.766666666666667,10.6,,29.700000000000003,,6.259908596606357,0.453327974276535,2.4,8.95,5.8,,,,,,,
Slovakia,2018,10.6,-0.0999999999999996,30.049999999999997,0.1499999999999985,121.32,103.46,7.448410238242853,2.537165510406325,4.1,6.533333333333334,5.849817193212714,1.3866559485530727,2.9,8.133333333333333,10.7,10.6,29.9,29.700000000000003,6.656075810485189,1.1479404863197984,2.9666666666666663,8.144444444444444,5.7,5.8,,5.75,,,,
Slovakia,2019,10.5,-0.0999999999999996,30.049999999999997,0.0,132.4,106.33,9.13287174414772,2.7740189445196295,2.3,5.8,7.448410238242853,2.537165510406325,4.1,6.533333333333334,10.6,10.7,30.049999999999997,29.9,7.4770330585344285,2.2326134678263423,3.0999999999999996,6.822222222222223,5.4,5.7,5.8,5.633333333333333,5.849817193212714,1.3866559485530727,2.9,8.133333333333333
Slovenia,2017,9.8,-0.0999999999999996,31.65,0.1999999999999957,111.79,101.4,8.271186440677969,1.552328492739119,5.2,6.633333333333333,3.2499999999999973,-0.1500000000000056,3.0,8.033333333333333,9.9,,31.450000000000003,,5.760593220338983,0.7011642463695567,4.1,7.333333333333333,3.1,,,,,,,
Slovenia,2018,9.4,-0.4000000000000003,32.45,0.8000000000000043,121.55,103.36,8.730655693711409,1.9329388560157756,4.4,5.133333333333333,8.271186440677969,1.552328492739119,5.2,6.633333333333333,9.8,9.9,31.65,31.450000000000003,6.750614044796458,1.1117557829182962,4.2,6.599999999999999,3.5,3.1,,3.3,,,,
Slovenia,2019,9.3,-0.0999999999999996,32.55,0.0999999999999943,129.69,105.11,6.696832579185519,1.6931114551083537,3.5,4.5,8.730655693711409,1.9329388560157756,4.4,5.133333333333333,9.4,9.8,32.45,31.65,7.899558237858298,1.726126267954416,4.366666666666667,5.422222222222222,3.2,3.5,3.1,3.266666666666667,8.271186440677969,1.552328492739119,5.2,6.633333333333333
Spain,2017,8.4,-0.4000000000000003,34.3,0.25,111.1,101.69,6.193844389218106,2.036925546859325,2.9,17.3,4.620000000000002,-0.3400000000000069,2.9,19.7,8.8,,34.05,,5.406922194609054,0.848462773429659,2.9,18.5,3.7,,,,,,,
Spain,2018,7.9,-0.5,34.55,0.25,118.58,103.46,6.732673267326739,1.7405841282328582,2.4,15.333333333333334,6.193844389218106,2.036925546859325,2.9,17.3,8.4,8.8,34.3,34.05,5.8488392188482825,1.1458365583640588,2.733333333333333,17.444444444444446,3.5,3.7,,3.6,,,,
Spain,2019,7.6,-0.3000000000000007,35.0,0.4500000000000028,124.71,104.26,5.169505818856468,0.7732456988208014,2.0,14.2,6.732673267326739,1.7405841282328582,2.4,15.333333333333334,7.9,8.4,34.55,34.3,6.032007825133771,1.516918457970995,2.433333333333333,15.611111111111112,3.5,3.5,3.7,3.5666666666666664,6.193844389218106,2.036925546859325,2.9,17.3
